index,value,year,month
Aug 1934,60.4,1934,8
Sep 1934,59.2,1934,9
Oct 1934,51.2,1934,10
Nov 1934,42.8,1934,11
Dec 1934,45.8,1934,12
Jan 1935,40,1935,1
Feb 1935,42.6,1935,2
Mar 1935,43.5,1935,3
Apr 1935,47.1,1935,4
May 1935,50,1935,5
Jun 1935,60.5,1935,6
Jul 1935,64.6,1935,7
Aug 1935,64,1935,8
Sep 1935,56.8,1935,9
Oct 1935,48.6,1935,10
Nov 1935,44.2,1935,11
Dec 1935,36.4,1935,12
Jan 1936,37.3,1936,1
Feb 1936,35,1936,2
Mar 1936,44,1936,3
Apr 1936,43.9,1936,4
May 1936,52.7,1936,5
Jun 1936,58.6,1936,6
Jul 1936,60,1936,7
Aug 1936,61.1,1936,8
Sep 1936,58.1,1936,9
Oct 1936,49.6,1936,10
Nov 1936,41.6,1936,11
Dec 1936,41.3,1936,12
Jan 1937,40.8,1937,1
Feb 1937,41,1937,2
Mar 1937,38.4,1937,3
Apr 1937,47.4,1937,4
May 1937,54.1,1937,5
Jun 1937,58.6,1937,6
Jul 1937,61.4,1937,7
Aug 1937,61.8,1937,8
Sep 1937,56.3,1937,9
Oct 1937,50.9,1937,10
Nov 1937,41.4,1937,11
Dec 1937,37.1,1937,12
Jan 1938,42.1,1938,1
Feb 1938,41.2,1938,2
Mar 1938,47.3,1938,3
Apr 1938,46.6,1938,4
May 1938,52.4,1938,5
Jun 1938,59,1938,6
Jul 1938,59.6,1938,7
Aug 1938,60.4,1938,8
Sep 1938,57,1938,9
Oct 1938,50.7,1938,10
Nov 1938,47.8,1938,11
Dec 1938,39.2,1938,12
Jan 1939,39.4,1939,1
Feb 1939,40.9,1939,2
Mar 1939,42.4,1939,3
Apr 1939,47.8,1939,4
May 1939,52.4,1939,5
Jun 1939,58,1939,6
Jul 1939,60.7,1939,7
Aug 1939,61.8,1939,8
Sep 1939,58.2,1939,9
Oct 1939,46.7,1939,10
Nov 1939,46.6,1939,11
Dec 1939,37.8,1939,12
